"Guid","CurrencyIsoCode","Name","SBQQ__Action__c","SBQQ__Active__c","SBQQ__BrandButton__c","SBQQ__Class__c","SBQQ__ConditionsMet__c","SBQQ__Default__c","SBQQ__Description__c","SBQQ__DisplayOrder__c","SBQQ__EventHandlerName__c","SBQQ__IconClass__c","SBQQ__Icon__c","SBQQ__Label__c","SBQQ__Location__c","SBQQ__PageHandlerName__c","SBQQ__Page__c","SBQQ__ParentCustomAction__c","SBQQ__ReturnURL__c","SBQQ__TargetObject__c","SBQQ__Type__c","SBQQ__URLTarget__c","SBQQ__URL__c"
bf19c4dc-c5de-4f40-8259-0bcc57dc7eb8,USD,Include Document,Include Document,true,false,"#N/A",All,false,"#N/A",916.0,"#N/A","#N/A","#N/A",Include Document,Quote Panel,NewQuoteRelatedContent,Quote Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
c4db0bef-5566-4cd9-ace8-9a266c65e407,USD,Optional: All - Group,Optional: All,true,false,optionalAllBtn,All,false,"#N/A",951.0,updateLineOptional,"#N/A","#N/A",Optional: All,Group,"#N/A",Quote Line Editor,f5e844fe-441a-4415-a004-e086a191b36e,"#N/A","#N/A",Button,"#N/A","#N/A"
cc5b070d-6da1-4ff8-85e9-3db656486b65,USD,Delete Lines,Delete Lines,true,false,deleteLinesBtn,All,false,"#N/A",914.0,onDeleteLines,"#N/A","#N/A",Delete Lines,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
ce08d9a4-acc1-4637-99ea-82fd0c671e5f,USD,Delete Group,Delete Group,true,false,deleteGroupBtn,All,false,"#N/A",954.0,onDeleteGroup,"#N/A","#N/A",Delete Group,Group,"#N/A",Quote Line Editor,f5e844fe-441a-4415-a004-e086a191b36e,"#N/A","#N/A",Button,"#N/A","#N/A"
d001570a-0f28-409e-b99f-7ad36c2e94a1,USD,Clone Group,Clone Group,true,false,cloneGroupBtn,All,false,"#N/A",953.0,onCloneGroup,"#N/A","#N/A",Clone Group,Group,"#N/A",Quote Line Editor,f5e844fe-441a-4415-a004-e086a191b36e,"#N/A","#N/A",Button,"#N/A","#N/A"
d43b3e24-dc7c-49b0-a197-2b386eebcdc3,USD,Amend,Amend,true,false,"#N/A",All,false,"#N/A",930.0,"#N/A","#N/A","#N/A",Amend,Contract Panel,AmendContract,Contract Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
d49906f1-1235-43fc-b70f-8936714c83d9,USD,Remove From Favorites,Remove From Favorites,true,false,removeFromFavBtn,All,false,"#N/A",991.0,onRemoveFromFavorites,sb-icon-star,star,Remove From Favorites,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
d4c82576-348c-423e-b231-9f5d33b0f95a,USD,Cancel,Cancel,true,false,cancelBtn,All,false,"#N/A",907.0,onCancel,"#N/A","#N/A",Cancel,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
dd39493d-32f4-4307-bfd0-3f4baf4d904a,USD,Add Group,Add Group,true,false,addGroupBtn,All,false,"#N/A",915.0,onAddGroup,"#N/A","#N/A",Add Group,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Menu,"#N/A","#N/A"
e2b1f1ce-6483-4d32-9bdb-3c050559e1eb,USD,Modify Quote Terms,Modify Quote Terms,true,false,"#N/A",All,false,"#N/A",915.0,"#N/A","#N/A","#N/A",Modify Quote Terms,Quote Panel,QuoteTermEditor,Quote Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
e88c1379-39fd-458c-b3de-2d6416191f27,USD,Save,Save,true,false,saveBtn,All,false,"#N/A",905.0,onSave,"#N/A","#N/A",Save,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
e9547008-175d-4755-b9e8-7d5a7475a935,USD,Reset Discounts - Group,Reset Discounts,true,false,resetDiscBtn,All,false,"#N/A",950.0,onResetDiscounts,"#N/A","#N/A",Reset Discounts,Group,"#N/A",Quote Line Editor,f5e844fe-441a-4415-a004-e086a191b36e,"#N/A","#N/A",Button,"#N/A","#N/A"
ef8ae8ff-d8fb-475f-a1e0-cbf08be61a3c,USD,Renew Assets,Renew Assets,true,false,"#N/A",All,false,"#N/A",921.0,"#N/A","#N/A","#N/A",Renew Assets,Account Panel,AssetSelector,Account Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
f08f9028-408e-4a04-8ce0-99d47b5dfe3d,USD,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",904.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Separator,"#N/A","#N/A"
f35397a7-4f3a-4f27-b473-0050b7541b1a,USD,Amend Contract,Amend Contract,true,false,"#N/A",All,false,"#N/A",941.0,"#N/A","#N/A","#N/A",Amend Contract,Opportunity Panel,SelectContractOpp,Opportunity Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
f5e844fe-441a-4415-a004-e086a191b36e,USD,Add Products,Add Products,true,false,addProductsBtn,All,true,"#N/A",900.0,onAddProducts,"#N/A","#N/A",Add Products,Quote/Group,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Menu,"#N/A","#N/A"
f8d786e3-31cd-4585-8fe9-74983405c49b,USD,Launch External,"#N/A",true,false,"#N/A",All,false,"#N/A",900.0,"#N/A","#N/A","#N/A",Launch External,Configurator,"#N/A",Product Configurator,"#N/A","#N/A","#N/A",Button,Popup,{!$Setup.GeneralSettings__c.ExternalConfigurationURL__c}
